predictionGemini,predictionDeepSeek,predictionLlama,predictionGrok,predictionOpenAI,label,content
positive,positive,negative,positive,Positive,0,rt  sehun taking care of luhan while hes sick amp lu was mumbling ah lang hun wants to know who tht is bt lu kissed him
negative,positive,positive,positive,Positive,0,rt  im so sorry but this is so fucking epic
negative,positive,positive,positive,Positive,0,rube golderberg machine powered by light     video gt
positive,positive,not defined,positive,Positive,0,logic  under pressure official audio  murdered it 🔥🔥 beats fresh as fuck
positive,positive,not defined,positive,Positive,0,i love you so fucking muchlt3
Negative,positive,positive,positive,Positive,0,rt  daredevil risking his life for a beautiful shot of dubai at night
positive,positive,negative,positive,Positive,0,rt    fell off my bed now lying on floor rolling around hysterically laughing my ass off for
Negative,positive,positive,positive,Positive,0,rt  great shot of  and
positive,positive,negative,positive,Positive,0,rt  the mamak who made this beautiful cheese nan deserves a fucking award
Positive,positive,not defined,positive,Positive,0,fosters home for imaginary friends super secret crisis war one shot is out today! go pick it up!! 💙✨
positive,positive,not defined,positive,Positive,0,fucking magic!!
Positive,positive,negative,positive,Positive,0,a lady from a different department tells me everyday how obsessed she is with my hair  so today she shows is with curly ass weave
Positive,positive,not defined,positive,Positive,0,ive been wanting some damn indian tacos lmfao
Negative,positive,positive,positive,Positive,0,check out the new single shot of me from  ft
Positive,positive,negative,positive,Positive,0,ill give u that rt    the ass is in a league all by itself but this is sexy as fuck too
positive,positive,negative,positive,Positive,0,rt  ladies!!!! the kindle version of the power of the pussy part two is on sale for only 99 cents!!! this week only!!!
positive,positive,negative,positive,positive,0,rt  bruhhhh 😂😂😂😂😂😆😆😆😆😆😂😂😂😂😂😂😆😆😆 lmfao done 😂😂😂😂😆😆😆😆
positive,positive,positive,negative,positive,0,lmfao
Negative,positive,positive,positive,Positive,0,a little tbt my attempt at a cool panoramic shot of the stadium
positive,positive,negative,positive,Positive,0,my nap was really fye ass hell
Negative,positive,positive,positive,Positive,0,lmfao okay i believe you!
positive,positive,negative,positive,Positive,0,cant wait til october 10th tho a nigga coming home tho swear i miss the fam 💯
positive,positive,not defined,positive,Positive,0,“   sexy as fuck!
Positive,positive,negative,positive,Positive,0,“ my niggas kno who they are 💯👌
positive,positive,negative,positive,Positive,0,what the fuck james looks so hot in this picture like omfg 😍👅💦🔥
Positive,positive,negative,positive,Positive,0,rt   🚨 new music alert 🚨  amp   hot nigga freestyle 🔥
Negative,positive,positive,positive,Positive,0,rt  my all time fave flat ass ❤️
Positive,positive,not defined,positive,Positive,0,😂😂 me ad bro glo been something serious over the years but these bitches been loving us  💯💪💉💸
Negative,positive,positive,positive,Positive,0,the penultimate episode of the season! watch ‘shot fired’ on ndani tv’s gidi up episode 11 of gidi up comes w
Positive,positive,negative,positive,Positive,0,love to skype with my fav butt ♥
positive,positive,negative,positive,Positive,0,yes its possible the cutest fucking thing ever
positive,positive,negative,positive,Positive,0,rt  she loves the show so fucking much
positive,positive,negative,positive,Positive,0,are you kidding she is so fucking gorgeous
positive,positive,negative,positive,Positive,0,is a great song it has some damn witty lines it sounds fantastic and is now my go to fuck it! song good shit
positive,positive,negative,positive,Positive,0,this did make me chuckle!! fuck it!!!
positive,positive,not defined,positive,Positive,0,rt  proud of david for getting some balls and asking trina to hc
Positive,positive,negative,positive,Positive,0,rt  just read  instructional on cunnilingus damn whatever parts you possess it is worth the read!
positive,positive,negative,positive,Positive,0,helado negro  invisible heartbeat
positive,positive,negative,positive,Positive,0,rt  fucking gorgeous!!!!
Positive,positive,negative,positive,Positive,0,obviously natural blondes
Negative,positive,positive,positive,Positive,0,makeup time for katie amp nikki
positive,positive,negative,positive,Positive,0,actually nikki really is quite good looking wait till my shots hit the newstand
Positive,positive,negative,positive,Positive,0,shit she knows how to walkyou go girlone foot in front of the other
negative,positive,positive,positive,Positive,0,more like
Negative,positive,positive,positive,Positive,0,rt  nicki explains the complexities of catwalk modelling you have to place one foot in front of the other
Negative,positive,positive,positive,Positive,0,question is are they pretty
Negative,positive,positive,positive,Positive,0,tarts for tarts
Negative,positive,positive,positive,Positive,0,these two need to be in the dictionary under gen y
negative,positive,positive,positive,Positive,0,katie is all sass
Negative,positive,positive,positive,Positive,0,and now for the dish that best represents the girls a big deconstructed tart
Positive,positive,negative,positive,Positive,0,these girls are either hand or feet models
Negative,positive,positive,positive,Positive,0,colin says the meat in the thigh was moist amp tender  are you talking about the main dish or nickis thighs
positive,positive,negative,positive,Positive,0,get gordon ramsay on there hell sort  out
positive,positive,not defined,positive,Positive,0,but there is still the dolly magazine model competition once a year girls
negative,positive,positive,positive,Positive,0,rt  its either katie and nikki or kat and andre to go so as viewers we cannot lose or win
Positive,positive,negative,positive,Positive,0,manu sassing kat is my favourite thing ever
Negative,positive,positive,positive,Positive,0,i ask this every year so looking forward to the older blonde cue geggy tah whoever you are
Negative,positive,positive,positive,Positive,0,its karma kat
Negative,positive,positive,positive,Positive,0,rt    annie youre spirit animal is  kat youre spirit animal is
positive,positive,negative,positive,Positive,0,youll be laughing last
negative,positive,positive,positive,Positive,0,how
positive,positive,negative,positive,Positive,0,everything i post is free to be reused
Positive,positive,negative,positive,Positive,0,in my opinion all jokes are ok nothing should be offlimits to joke about just pointing out hypocrisies
Negative,positive,positive,positive,Positive,0,i present exhibits vz that
Negative,positive,positive,positive,Positive,0,rt   do you realize how powerful feminism really is
negative,positive,Positive,positive,Positive,0,the ideaor the argument
negative,positive,Positive,positive,Positive,0,in what way
Negative,positive,Positive,positive,Positive,0,heyhow did you make that == thing
negative,positive,positive,positive,Positive,0,you sure
positive,positive,negative,positive,Positive,0,those two are the only self ided feminist i can think of who are legit
Negative,positive,positive,positive,Positive,0,this is the tags founder
positive,positive,negative,positive,Positive,0,i have no misogynist views feminism is an ideology not a gender fyi
positive,positive,not defined,positive,Positive,0,google christina hoff sommers wage gap or pay gap she uses real facts not anecdotes
positive,positive,negative,positive,Positive,0,two of those three are already real
Negative,positive,positive,positive,Positive,0,rt   thought you might like one of my comics from unpc comix
positive,positive,negative,positive,Positive,0,both my desire to play video games is never stronger than after sex can finally focus on something other than sex
negative,positive,positive,positive,Positive,0,you dont regard ford as a problematic figure
Negative,positive,positive,positive,Positive,0,define forcing
negative,positive,positive,positive,Positive,0,i am tennis neutral just setting up the joke
positive,positive,negative,positive,Positive,0,unrelated to highlander i also prefer fletch lives over the first for same reason as gb 2 funnier bottom line
Positive,positive,negative,positive,Positive,0,rock is much closer to socrates than most know
negative,positive,positive,positive,Positive,0,to some yeah
negative,positive,positive,positive,Positive,0,wiki
Negative,positive,positive,positive,Positive,0,or grab a camera
negative,positive,Positive,positive,Positive,0,proof
Positive,positive,negative,positive,Positive,0,no actually she has an economics degree
Negative,positive,positive,positive,Positive,0,ever play rambo on old nes by any chance
positive,positive,negative,positive,Positive,0,ill find a special occasion thanks
negative,positive,Positive,Positive,Positive,0,ahem
positive,positive,positive,negative,Positive,0,sorry to hear that get well man
positive,positive,negative,positive,Positive,0,man i thought chevaldayoff was a human paper weightwhat a trade for the jets as good a deal as ive seen in years decades
"Okay, I understand. Im ready. Please provide the statement you want me to analyze.  Once you provide the statement, I will respond with either positive or negative.",positive,positive,positive,Positive,0,source
Negative,positive,positive,positive,Positive,0,saw this this morning
negative,positive,Positive,positive,Positive,0,rt
negative,positive,positive,positive,Positive,0,rt
Negative,positive,positive,positive,Positive,0,google kate millett sister now and enjoy long read
negative,positive,positive,positive,Positive,0,rt
Negative,positive,positive,positive,Positive,0,i just laughed at kanes move kid is sick wish theyd used geno over letang though
positive,positive,negative,positive,Positive,0,rt  3 followers till 1000
positive,positive,negative,positive,Positive,0,rt  gotta love exchanges like these
negative,positive,positive,positive,Positive,0,sweden and the eu
negative,positive,Positive,positive,Positive,0,rt
Negative,positive,positive,positive,Positive,0,mehif myers regains form youll forget he ever existed armia and lemieux are great assets
negative,positive,positive,positive,Positive,0,rt  wellits a valid question
negative,positive,positive,positive,Positive,0,name 3 prominent feminists please no google
negative,positive,positive,positive,Positive,0,show an example
negative,positive,Positive,positive,Positive,0,please explain what the 77 figure cited in wage gap discussions compares thanks
Negative,positive,positive,positive,Positive,0,what does the 77 on the dollar figure describe
Positive,positive,negative,positive,Positive,0,rt  courtesy of our friend  the hairman of the board
negative,positive,positive,positive,Positive,0,rt
Negative,positive,positive,positive,Positive,0,should women be united or honest
Negative,positive,positive,positive,Positive,0,i knowwas on  for that whole thing best troll ever
negative,positive,positive,positive,Positive,0,in her mind sure
positive,positive,Positive,negative,Positive,0,free market they get what they negotiate producers feel its fair or not the actoractress can accept or not
